# time dst_kyoto dst_l1 dst_stb dst_pers v_l1 v_stb v_pers
732765.16667 -1.00000 -3.78299 -5.91672 -5.50858 389.00000 380.36951 386.32000
732765.20833 -2.00000 -3.16323 -4.89619 -4.60649 380.00000 379.71728 382.00000
732765.25000 -3.00000 -6.27848 -6.66469 -3.95186 379.00000 374.04339 380.44000
732765.29167 -4.00000 -3.78556 -9.28071 -3.64994 384.00000 379.81044 380.04000
732765.33333 -6.00000 -6.13616 -14.76841 -3.61071 384.00000 376.07100 384.12000
732765.37500 -11.00000 -11.64122 -19.78148 -3.01807 383.00000 384.66720 385.44000
732765.41667 -19.00000 -15.34790 -21.96249 -2.92983 388.00000 402.28934 378.80000
732765.45833 -23.00000 -15.86027 -18.71213 -3.09013 392.00000 390.14923 370.36000
732765.50000 -21.00000 -14.59314 -13.22989 -2.95719 394.00000 372.62191 365.96000
732765.54167 -14.00000 -12.92414 -15.92528 -2.96291 386.00000 368.87699 363.44000
732765.58333 -12.00000 -12.08401 -14.88941 -2.29751 375.00000 377.07653 367.20000
732765.62500 -10.00000 -10.82642 -14.26249 -1.36622 366.00000 367.56062 371.48000
732765.66667 -11.00000 -10.44018 -11.43475 -1.41211 363.00000 379.25667 369.44000
732765.70833 -9.00000 -9.36144 -10.89334 -1.70676 366.00000 381.15328 363.84000
732765.75000 -7.00000 -7.38204 -12.15086 -1.78669 369.00000 348.17290 357.92000
732765.79167 -5.00000 -5.76067 -12.43123 -1.22953 364.00000 341.04936 357.04000
732765.83333 -2.00000 -5.93667 -11.15571 -1.42211 356.00000 335.15570 356.96000
732765.87500 -2.00000 -5.76300 -10.02643 -2.44650 358.00000 343.99189 353.92000
732765.91667 -3.00000 -5.11753 -9.22620 -2.74566 354.00000 355.61916 350.44000
732765.95833 -1.00000 -4.00083 -9.01869 -3.09764 354.00000 360.20221 344.84000
732766.00000 0.00000 -4.28501 -8.11307 -3.22376 359.00000 358.93501 341.00000
732766.04167 1.00000 -4.11719 -6.69424 -1.54928 361.00000 355.43552 343.60000
732766.08333 1.00000 -3.21784 -8.07298 0.10914 348.00000 347.72499 350.16000
732766.12500 0.00000 -2.93189 -8.65631 0.88217 344.00000 345.02255 355.56000
732766.16667 -1.00000 -3.12695 -7.73307 2.06813 339.00000 343.72717 352.84000
732766.20833 -2.00000 -2.45472 -5.18431 3.41790 337.00000 344.70339 349.52000
732766.25000 -3.00000 -0.88625 -5.30112 3.74173 344.00000 337.92952 348.96000
732766.29167 -3.00000 -0.33255 -7.29333 3.93717 339.00000 321.06320 344.36000
732766.33333 -4.00000 0.35648 -5.77011 3.76360 334.00000 320.21282 342.04000
732766.37500 -3.00000 0.80609 -3.41960 4.43304 332.00000 322.73574 343.00000
732766.41667 -2.00000 1.87592 -4.14904 5.61146 333.00000 331.54755 345.08000
732766.45833 -2.00000 0.48145 -2.04265 5.84629 327.00000 342.18333 348.04000
732766.50000 2.00000 2.44144 -4.44952 4.49125 327.00000 335.86514 352.64000
732766.54167 1.00000 1.54149 -4.67784 2.25689 334.00000 335.91538 357.56000
732766.58333 -1.00000 1.11946 -3.98670 -0.05675 350.00000 339.19550 357.44000
732766.62500 -1.00000 -0.23790 -3.28759 -1.00952 349.00000 335.08218 364.84000
732766.66667 -3.00000 -0.63215 -2.74216 -1.12368 349.00000 325.35777 372.48000
732766.70833 -2.00000 -0.46250 -3.29408 -1.84787 347.00000 328.24183 372.00000
732766.75000 -1.00000 -0.39588 -7.88513 -0.55858 340.00000 313.04976 376.16000
732766.79167 3.00000 0.79143 -4.48110 0.24763 342.00000 334.42752 374.80000
732766.83333 5.00000 0.12619 -2.16828 -0.45704 342.00000 345.62019 370.52000
732766.87500 5.00000 0.79971 1.97804 -0.84516 347.00000 358.18635 368.40000
732766.91667 12.00000 7.45089 7.44797 -0.51343 380.00000 375.72964 365.48000
732766.95833 19.00000 13.13374 13.56432 0.37486 390.00000 387.32195 366.56000
732767.00000 19.00000 13.34252 10.04725 2.43002 402.00000 399.20121 367.48000
732767.04167 1.00000 -8.72747 -3.99604 5.12990 412.00000 393.20371 364.92000
732767.08333 -23.00000 -30.86759 -25.28422 5.30225 417.00000 423.62282 361.96000
732767.12500 -31.00000 -32.29177 -20.54610 4.46094 422.00000 459.35058 363.08000
732767.16667 -24.00000 -30.22976 -14.58491 4.67020 468.00000 490.30994 370.72000
732767.20833 -31.00000 -27.20753 -22.04508 0.55375 480.00000 467.14545 379.64000
732767.25000 -40.00000 -32.94999 -37.42344 -6.85699 489.00000 496.42251 388.20000
732767.29167 -60.00000 -43.45533 -57.75915 -9.75609 509.00000 512.97828 414.32000
732767.33333 -63.00000 -42.48536 -51.48997 -5.07878 499.00000 535.73254 438.68000
732767.37500 -40.00000 -37.93101 -49.10420 -3.72354 514.00000 497.19584 438.32000
732767.41667 -28.00000 -34.07108 -48.96483 -3.81780 530.00000 526.62058 431.40000
732767.45833 -23.00000 -33.25882 -48.59460 -3.21228 537.00000 528.78299 424.84000
732767.50000 -31.00000 -37.40904 -55.04962 -2.81683 553.00000 563.13330 420.48000
732767.54167 -40.00000 -41.37500 -57.35615 -3.03510 553.00000 564.60558 417.92000
732767.58333 -39.00000 -35.50256 -57.29547 -1.84087 557.00000 534.74968 420.16000
732767.62500 -36.00000 -32.82725 -51.18788 -0.81578 563.00000 566.67945 425.04000
732767.66667 -38.00000 -31.72964 -48.32495 -2.76313 561.00000 579.38441 431.72000
732767.70833 -32.00000 -28.22329 -47.03773 -6.76696 549.00000 539.75955 432.32000
732767.75000 -33.00000 -30.08744 -47.33913 -9.00769 549.00000 544.93858 426.96000
732767.79167 -33.00000 -27.57640 -43.67640 -9.21414 553.00000 536.98940 422.88000
732767.83333 -28.00000 -26.59600 -43.71790 -9.96721 547.00000 532.74696 409.08000
732767.87500 -30.00000 -30.79345 -44.80452 -9.37125 545.00000 537.71288 399.52000
732767.91667 -25.00000 -33.24097 -41.16616 -7.20128 538.00000 542.81850 401.56000
732767.95833 -29.00000 -36.54054 -38.69360 -6.63901 568.00000 552.00950 399.36000
732768.00000 -37.00000 -41.32330 -33.47896 -7.74734 574.00000 561.74027 396.52000
732768.04167 -39.00000 -40.01793 -33.15790 -9.07785 577.00000 572.36667 387.12000
732768.08333 -36.00000 -36.42765 -32.30723 -8.08298 582.00000 574.98050 377.48000
732768.12500 -35.00000 -35.82215 -32.19431 -6.02284 578.00000 590.45788 383.76000
