# time dst_kyoto dst_l1 dst_stb dst_pers
414.00000 -28.00000 -24.40858 -15.49705 -9.79543
415.00000 -28.00000 -24.40858 -15.49705 -9.79543
416.00000 -20.00000 -15.02129 -15.36121 -9.52879
417.00000 -12.00000 -10.34243 -7.87041 -9.52879
418.00000 -13.00000 -8.37136 -5.69201 -8.24810
419.00000 -16.00000 -11.75788 -5.31248 -6.76260
420.00000 -16.00000 -14.33223 -4.09037 -6.54181
421.00000 -16.00000 -14.33223 -2.85810 -5.47945
422.00000 -8.00000 -5.94325 -0.90512 -7.47196
423.00000 -9.00000 -21.29925 -3.66397 -22.75360
424.00000 -53.00000 -41.88755 -17.56127 -22.75360
425.00000 -53.00000 -41.88755 -42.34022 -41.18091
426.00000 -29.00000 -29.43872 -42.34022 -41.18091
427.00000 -25.00000 -32.21925 -37.55694 -38.45288
428.00000 -24.00000 -32.21925 -25.07499 -28.02123
429.00000 -22.00000 -30.13669 -25.07499 -26.56591
430.00000 -21.00000 -22.97436 -19.42236 -22.57688
431.00000 -21.00000 -27.21753 -18.95003 -22.57688
432.00000 -26.00000 -29.98668 -18.95003 -20.76604
433.00000 -26.00000 -33.24618 -17.75016 -26.86479
434.00000 -26.00000 -33.24618 -14.55218 -26.86479
435.00000 -17.00000 -21.00415 -14.55218 -23.88733
436.00000 -21.00000 -18.79271 -12.33384 -23.88733
437.00000 -21.00000 -18.79271 -9.52492 -19.04795
438.00000 -9.00000 -13.41268 -6.97247 -19.04795
439.00000 -12.00000 -10.93868 -6.82652 -16.88338
440.00000 -12.00000 -9.47800 -5.10197 -15.15231
441.00000 -8.00000 -13.28035 -6.17555 -15.15231
442.00000 -11.00000 -13.28035 -6.17555 -9.95572
443.00000 -11.00000 -9.13361 -5.09710 -9.90570
444.00000 -5.00000 -11.21104 -1.97733 -5.24579
445.00000 -4.00000 -11.21104 -0.49110 -4.41776
446.00000 -4.00000 -11.06681 1.00000 -4.41776
447.00000 -2.00000 -6.78692 -0.03407 -2.94359
448.00000 1.00000 0.37235 -0.38554 -5.13170
449.00000 0.00000 -0.36849 -0.38554 -5.13170
450.00000 -1.00000 -0.36849 0.64868 -0.55841
451.00000 -1.00000 1.00000 1.00000 1.00000
452.00000 -1.00000 1.00000 1.00000 1.00000
453.00000 -1.00000 1.00000 1.00000 1.00000
454.00000 1.00000 0.68769 1.00000 1.00000
455.00000 -3.00000 -0.10428 1.00000 -0.53364
456.00000 -6.00000 -0.10428 -4.00953 -10.07385
457.00000 -6.00000 0.51557 -16.63344 -10.07385
458.00000 -3.00000 1.00000 -16.63344 1.00000
459.00000 -2.00000 1.00000 -4.84752 1.00000
460.00000 0.00000 1.00000 -3.73338 -1.01940
461.00000 -5.00000 -3.17593 -3.73338 -1.01940
462.00000 -10.00000 -7.75981 -11.64034 0.94748
463.00000 -10.00000 -7.75981 -11.64034 1.00000
464.00000 -9.00000 -7.46110 -5.60788 -0.48573
465.00000 -9.00000 -7.11796 -10.69905 -3.55862
466.00000 -9.00000 -7.11796 -13.29348 -13.95655
467.00000 -9.00000 -6.26880 -13.29348 -18.36522
468.00000 -10.00000 -11.39734 -10.82413 -18.36522
469.00000 -20.00000 -14.27002 -9.94142 -12.56716
470.00000 -20.00000 -14.27002 -9.94142 -8.86843
471.00000 -10.00000 -11.23953 -9.39581 -4.47380
472.00000 -7.00000 -5.47649 -5.62807 -3.71134
473.00000 -6.00000 -5.98610 -5.08446 -9.51239
474.00000 -52.00000 -64.36315 -61.67894 -9.51239
475.00000 -52.00000 -64.36315 -62.30639 -30.79423
476.00000 -31.00000 -36.17344 -62.30639 -30.79423
477.00000 -37.00000 -36.51202 -47.30738 -29.77861
478.00000 -37.00000 -36.51202 -36.13077 -21.27003
479.00000 -27.00000 -30.78593 -28.01104 -25.78793
480.00000 -21.00000 -28.31746 -21.46268 -25.78793
481.00000 -21.00000 -28.31746 -20.05705 -17.37354
